topic;content
Quais modelos são compatíveis com o aplicativo Mormaii Smartwatches?;"No momento, os seguintes modelos são compatíveis com o aplicativo Mormaii Smartwatches (Novos modelos poderão ser adicionados no futuro):

- Mormaii fitGPS (ref MOB3xx)
- Mormaii fitSport (ref MOID151xx)
- Mormaii Life (ref MOLIFExx)
- Mormaii Life GPS (ref MOLIFEGxx)
- Mormaii Force (ref MOFORCExx)
- Mormaii Life Ultra (ref MOLIFEUxx e MOLIFEURxx)
- Mormaii Life Ultra GPS (ref MOLIFEUGxx)
OBS: Você pode saber a referência do seu modelo ao olhar a gravação na parte de trás de seu relógio (caseback)."
Como realizo a conexão do meu relógio ao aplicativo?;"1. Inicie o aplicativo Mormaii Smartwatches e vá até a tela inicial.
2. Toque no banner de conexão localizado abaixo da sua foto de perfil ou no ícone de relógio desconectado, acima do banner.
3. Selecione o modelo de relógio compatível que deseja conectar.

Conexão via QR Code (para modelos compatíveis):

- Se o seu relógio oferecer a opção de conexão por QR Code, o aplicativo abrirá automaticamente a câmera para realizar a leitura do código e conectar o dispositivo.

Conexão manual (caso seu relógio não tenha QR Code ou você prefira essa opção):

- O aplicativo começará a procurar por relógios próximos compatíveis. Certifique-se de que seu relógio esteja ligado e próximo ao celular.
- Verifique se o Bluetooth e a Localização (GPS) do seu celular estão ativados. Caso contrário, o aplicativo solicitará que você ative essas funções.

Primeira conexão:

- Se for a primeira vez conectando o relógio, o aplicativo guiará você por uma série de configurações iniciais, como definição de objetivos e configuração de notificações.

Importante:

- A conexão deve ser realizada exclusivamente através do passo a passo dentro do aplicativo Mormaii Smartwatches. Conectar-se via **configurações de Bluetooth** do celular ou outros meios pode causar mau funcionamento em várias funcionalidades do relógio."
Como sei se meu relógio está conectado corretamente ao aplicativo?;"Caso seu relógio esteja conectado corretamente ao aplicativo, o ícone de relógio na tela inicial do aplicativo ficará branco e mostrará um texto de “Conectado”. O ícone de bluetooth do seu relógio também indicará a conexão.
Caso o ícone de Bluetooth de seu relógio indique que está conectado, mas o ícone de relógio do aplicativo esteja cortado e na cor laranja, isso significa que seu relógio está conectado a algum outro sistema ou dispositivo, mas não está conectado devidamente ao aplicativo. Você deve desconectar seu relógio de qualquer outro sistema ou dispositivo e, então, realizar a conexão através do passo-a-passo do aplicativo (ver tópico anterior)."
Tento conectar meu relógio ao aplicativo, mas recebo a mensagem “Relógio não encontrado”. O que fazer?;"É possível que seu relógio já esteja conectado a algum outro dispositivo ou sistema. Caso o relógio esteja conectado a outro sistema, será preciso desconectá-lo manualmente antes de tentar conectá-lo ao aplicativo.
Entre em configurações do Bluetooth do seu celular, encontre o relógio, e toque em “Esquecer dispositivo” ou “Desparear”.

Verifique na tela inicial do relógio como está desenhado o ícone de Bluetooth. Caso o ícone esteja completo, isso significa que o relógio já está conectado a algum dispositivo ou sistema. Você deve identificar a qual sistema o relógio está pareado e realizar a desconexão manualmente. É recomendado restaurar o relógio para as configurações de fábrica ou reinicie o relógio antes de tentar o pareamento novamente (isso resultará na perda dos dados que ainda não foram sincronizados com o aplicativo). Caso o ícone esteja cortado, isso significa que o relógio está desconectado e pronto para ser conectado ao aplicativo Mormaii Smartwatches.

ATENÇÃO: A conexão deve ser realizada apenas através do passo-a-passo do aplicativo Mormaii Smartwatches. Realizar a conexão através das configurações de Bluetooth de seu celular, ou de qualquer outro meio, pode causar mau funcionamento de diversas funcionalidades do relógio."
[Android] Meu relógio perdeu a conexão. O que devo fazer?;"Caso a conexão entre relógio e aplicativo seja perdida, basta abrir o aplicativo em seu celular e aguardar a conexão ser refeita automaticamente.
Caso o aplicativo não consiga reestabelecer a conexão automaticamente, será preciso refazer o passo-a-passo de conexão.

Além disso, será necessário verificar se o seu aplicativo está permitido para rodar em segundo plano. Para isso, encontre o aplicativo Mormaii Smartwatches nas configurações do seu celular, vá até a opção de uso de bateria e selecione a opção “Sem restrição”.

OBS.: Os nomes das configurações podem variar de acordo com a fabricante do seu celular."
Meu relógio às vezes conecta sozinho e às vezes não. Por que isso acontece?;Quando a conexão é perdida, o aplicativo Mormaii Smartwatches tenta reconectar automaticamente com o seu relógio, mas se você desconectou sua pulseira, fez logout do aplicativo, desligou seu celular ou desinstalou e instalou o aplicativo, você precisa abrir o aplicativo novamente para fazer o passo-a-passo de conexão inicial.
O que pode causar a perda da conexão entre relógio e aplicativo?;"a) Distância: A conexão Bluetooth pode se manter até uma distância de 10 metros. Contudo, essa distância só é alcançada em campo aberto e sem nenhum tipo de interferência.
b) Barreiras físicas: Caso haja barreiras físicas (como paredes) entre o relógio e o celular, a distância máxima para a conexão se manter pode ser reduzida drasticamente.
c) Interferências: O seu smartwatch foi homologado pela a Agência Nacional de Telecomunicações (ANATEL) como dispositivo que opera em caráter secundário. Dispositivos ou estações operando em caráter secundário, não tem direito à proteção contra interferência (radiofrequência) prejudicial, mesmo de estações do mesmo tipo, e não podem causar interferência em sistemas operando em caráter primário. Isso significa que outros dispositivos (como outros dispositivos Bluetooth, roteadores Wi-Fi, etc.) poderão interferir no funcionamento do seu smartwatch caso ele seja exposto a tais condições.
d) Aplicativo encerrado ou limitado: Para que a conexão se mantenha, é necessário que o aplicativo Mormaii Smartwatches permaneça aberto e rodando, mesmo que em segundo plano. Caso o aplicativo seja encerrado, a conexão será perdida. ATENÇÃO: Alguns celulares possuem sistemas e/ou aplicativos de gestão de energia que podem limitar o funcionamento de aplicativos em segundo plano (como impedir o acesso a recursos custosos como a antena Bluetooth), podendo causar a perda da conexão, para não acontecer a perda de conexão você precisará alterar as configurações de segundo plano nas configurações do seu celular (veja o tópico: Meu relógio perdeu a conexão. O que devo fazer?)
e) Celular/relógio com pouca bateria: Caso seu celular fique com pouca bateria, o sistema operacional, ou outros sistemas de gestão de energia, podem limitar o funcionamento de recursos que consomem muita energia, como a antena Bluetooth, prejudicando a conexão.
Caso seu relógio fique com pouca bateria, a potência de sua antena Bluetooth também pode ser afetada."
Meu relógio é à prova d’água?;A Mormaii fitGPS possui certificação IP68, o que significa que resiste a imersão de 1,5m em água doce parada por até 30 minutos. Essa resistência, contudo, visa prevenir defeitos em caso de imersão acidental, não sendo recomendada a imersão intencional do relógio em água ou qualquer outro líquido ou ambiente com vapor excessivo.
Meu relógio é à prova d’água?;A Mormaii fitSport possui certificação IP68, o que significa que resiste a imersão de 1,5m em água doce parada por até 30 minutos. Essa resistência, contudo, visa prevenir defeitos em caso de imersão acidental, não sendo recomendada a imersão intencional do relógio em água ou qualquer outro líquido ou ambiente com vapor excessivo.
Meu relógio é à prova d’água?;O Mormaii Life possui resistência à água de 5 ATM. Isto lhe permite o uso diário, garantindo a resistência à respingos d’água, tomar banho no chuveiro (água fria). Não é adequado para mergulho, natação no mar, sauna ou banho quente. Não aperte o botão lateral quando estiver embaixo d’água ou com o relógio (ou mãos) molhados.
Posso entrar no mar com meu relógio?;Não é recomendada a imersão de sua Mormaii fitGPS em água salgada, uma vez que a certificação IP68 garante apenas resistência a água doce.
Posso entrar no mar com meu relógio?;Não é recomendada a imersão de sua Mormaii fitSport em água salgada, uma vez que a certificação IP68 garante apenas resistência a água doce
Posso entrar no mar com meu relógio?;Você pode utilizar o seu Mormaii Life em água salgada. Apesar de poder utilizar nesse ambiente, não o recomendamos. O sal da água do mar é muito corrosivo e pode danificar algum componente externo do produto. Caso opte por utilizar, após o seu banho de mar, lave o relógio em água doce corrente para retirar todo o sal que possa ter ficado no produto. 
Posso nadar com meu relógio?;Não é recomendada a prática de natação ou qualquer outro esporte aquático com sua Mormaii fitGPS, uma vez que a pressão exercida pelo movimento dos braços na água pode exceder o limite da resistência do relógio 
Posso nadar com meu relógio?;Não é recomendada a prática de natação ou qualquer outro esporte aquático com sua Mormaii fitSport, uma vez que a pressão exercida pelo movimento dos braços na água pode exceder o limite da resistência do relógio
Posso nadar com meu relógio?;Com a resistência à água de 5ATM você pode praticar esportes em piscinas ou mar aberto. Não aperte o botão lateral se o relógio ou sua mão estiverem molhados. Lembre-se de lavar o relógio em água doce corrente após o uso em piscinas e mares.
